ID,publication_year,article_book
hb_188_02_000264,2019,논문
hb_193_02_000166,2021,논문
hb_200_02_001152,2022,논문
hb_192_02_000196,2020,논문
hb_184_02_000621,2018,논문
hb_181_02_000176,2018,논문
hb_197_02_000414,2022,논문
hb_181_02_000051,2018,논문
hb_187_02_000479,2019,논문
hb_193_02_000685,2021,논문
hb_193_02_000205,2021,논문
hb_192_02_000557,2020,논문
hb_190_02_000697,2020,논문
hb_200_02_000223,2022,논문
hb_191_02_000553,2020,논문
hb_197_02_000811,2022,논문
hb_200_02_000023,2022,논문
hb_188_02_000461,2019,논문
hb_184_02_000798,2018,논문
hb_190_02_000825,2020,논문
hb_185_02_000542,2019,논문
hb_184_02_000865,2018,논문
hb_181_02_000157,2018,논문
hb_198_02_000387,2022,논문
hb_183_02_000172,2018,논문
hb_192_02_000331,2020,논문
hb_196_02_000379,2021,논문
hb_188_02_000485,2019,논문
hb_196_02_000307,2021,논문
hb_183_02_000549,2018,논문
hb_198_02_000797,2022,논문
hb_192_02_000336,2020,논문
hb_188_02_000203,2019,논문
hb_194_02_001109,2021,논문
hb_200_02_000895,2022,논문
hb_195_02_000864,2021,논문
hb_190_02_000415,2020,논문
hb_188_02_000930,2019,논문
hb_192_02_000947,2020,논문
hb_192_02_000560,2020,논문
hb_190_02_000431,2020,논문
hb_188_02_000864,2019,논문
hb_184_02_000633,2018,논문
hb_194_02_000484,2021,논문
hb_181_02_000357,2018,논문
hb_185_02_000451,2019,논문
hb_187_02_000488,2019,논문
hb_186_02_000222,2019,논문
hb_199_02_000012,2022,논문
hb_189_02_000188,2020,논문
hb_195_02_000882,2021,논문
hb_183_02_000533,2018,논문
hb_189_02_000685,2020,논문
hb_196_02_000300,2021,논문
hb_185_02_000432,2019,논문
hb_184_02_000506,2018,논문
hb_194_02_001030,2021,논문
hb_190_02_000210,2020,논문
hb_197_02_000607,2022,논문
hb_197_02_000196,2022,논문
hb_188_02_000091,2019,논문
hb_188_02_000965,2019,논문
hb_185_02_000044,2019,논문
hb_201_02_000158,2023,논문
hb_186_02_000756,2019,논문
hb_187_02_000238,2019,논문
hb_181_02_000696,2018,논문
hb_200_02_000584,2022,논문
hb_196_02_000652,2021,논문
hb_191_02_000055,2020,논문
hb_196_02_000931,2021,논문
hb_186_02_000233,2019,논문
hb_196_02_001151,2021,논문
hb_184_02_000216,2018,논문
hb_190_02_000200,2020,논문
hb_200_02_001046,2022,논문
hb_197_02_000136,2022,논문
hb_189_02_000455,2020,논문
hb_182_02_000309,2018,논문
hb_191_02_000566,2020,논문
hb_192_02_000524,2020,논문
hb_186_02_000837,2019,논문
hb_192_02_000717,2020,논문
hb_199_02_000305,2022,논문
hb_196_02_001102,2021,논문
hb_181_02_000379,2018,논문
hb_185_02_000422,2019,논문
hb_182_02_000413,2018,논문
hb_196_02_000893,2021,논문
hb_195_02_000133,2021,논문
hb_181_02_000123,2018,논문
hb_200_02_001181,2022,논문
hb_196_02_000498,2021,논문
hb_192_02_000928,2020,논문
hb_189_02_000474,2020,논문
hb_190_02_000599,2020,논문
hb_183_02_000206,2018,논문
hb_194_02_000470,2021,논문
hb_183_02_000808,2018,논문
hb_187_02_000810,2019,논문
hb_196_02_000740,2021,논문
hb_193_02_000366,2021,논문
hb_192_02_000768,2020,논문
hb_187_02_000729,2019,논문
hb_199_02_000260,2022,논문
hb_198_02_000398,2022,논문
hb_183_02_000077,2018,논문
hb_187_02_000294,2019,논문
hb_191_02_000248,2020,논문
hb_190_02_000285,2020,논문
hb_200_02_000644,2022,논문
hb_194_02_001135,2021,논문
hb_192_02_000679,2020,논문
hb_196_02_000194,2021,논문
hb_188_02_001049,2019,논문
hb_184_02_001273,2018,논문
hb_200_02_000818,2022,논문
hb_200_02_000874,2022,논문
hb_197_02_000102,2022,논문
hb_187_02_000181,2019,논문
hb_190_02_000135,2020,논문
hb_184_02_000188,2018,논문
hb_184_02_000490,2018,논문
hb_201_02_000001,2023,논문
hb_199_02_000530,2022,논문
hb_188_02_000666,2019,논문
hb_199_02_000818,2022,논문
hb_200_02_000175,2022,논문
hb_186_02_000740,2019,논문
hb_200_02_000804,2022,논문
hb_183_02_000325,2018,논문
hb_197_02_000197,2022,논문
hb_190_02_000702,2020,논문
hb_185_02_000394,2019,논문
hb_199_02_000046,2022,논문
hb_191_02_000250,2020,논문
hb_199_02_000203,2022,논문
hb_193_02_000306,2021,논문
hb_196_02_000252,2021,논문
hb_186_02_000462,2019,논문
hb_192_02_000305,2020,논문
hb_186_02_000101,2019,논문
