ID,article_book,publication_year,page_count_list
hb_001_02_004001,논문,1934,"[25, 16, 29, 27, 22, 49, 26]"
hb_001_02_004005,논문,1934,[32]
hb_001_02_004006,논문,1934,[11]
hb_001_02_004007,논문,1934,[11]
hb_001_02_004002,논문,1934,[30]
hb_001_02_004003,논문,1934,[30]
hb_001_02_004004,논문,1934,"[27, 19]"
hb_001_02_004012,논문,1935,[40]
hb_001_02_004008,논문,1935,"[45, 35]"
hb_001_02_004013,논문,1935,[23]
hb_001_02_004014,논문,1935,[16]
hb_001_02_004011,논문,1935,[16]
hb_001_02_004009,논문,1935,[41]
hb_001_02_004010,논문,1935,[28]
hb_001_02_004015,논문,1936,"[28, 32, 47]"
hb_001_02_004021,논문,1936,"[31, 41, 45]"
hb_001_02_004018,논문,1936,[59]
hb_001_02_004023,논문,1936,[24]
hb_001_02_004017,논문,1936,[15]
hb_001_02_004019,논문,1936,[46]
hb_001_02_004024,논문,1936,[16]
hb_001_02_004025,논문,1936,[9]
hb_001_02_004020,논문,1936,[20]
hb_001_02_004016,논문,1936,"[30, 39, 54]"
hb_001_02_004022,논문,1936,[15]
hb_001_02_004027,논문,1937,[]
hb_001_02_004026,논문,1937,[44]
hb_001_02_004030,논문,1937,[18]
hb_001_02_004028,논문,1937,[17]
hb_001_02_004029,논문,1937,[2]
hb_001_02_004031,논문,1938,"[29, 40, 52]"
hb_001_02_004034,논문,1938,[31]
hb_001_02_004032,논문,1938,[56]
hb_001_02_004033,논문,1938,[59]
hb_001_02_004038,논문,1939,[42]
hb_001_02_004035,논문,1939,[10]
hb_001_02_004036,논문,1939,[24]
hb_001_02_004041,논문,1939,[36]
hb_001_02_004037,논문,1939,[9]
hb_001_02_004042,논문,1939,[6]
hb_001_02_004039,논문,1939,[51]
hb_001_02_004040,논문,1939,"[42, 53]"
hb_001_02_004043,논문,1940,[9]
hb_001_02_004044,논문,1941,[33]
hb_001_02_004046,논문,1941,[50]
hb_001_02_004045,논문,1941,[24]
hb_001_02_004047,논문,1941,[53]
hb_001_02_004048,논문,1947,[49]
hb_001_02_004049,논문,1947,[24]
hb_001_02_005027,논문,1948,[11]
hb_001_02_004050,논문,1949,[26]
hb_001_02_004051,논문,1949,[10]
hb_001_02_004052,논문,1949,[18]
hb_001_02_004053,논문,1949,[11]
hb_001_02_000151,논문,1949,[14]
hb_001_02_002303,논문,1951,[]
hb_001_02_002316,논문,1951,[]
hb_001_02_002321,논문,1951,[17]
hb_001_02_002322,논문,1951,[34]
hb_001_02_002305,논문,1951,[41]
hb_001_02_002304,논문,1951,[40]
hb_001_02_002323,논문,1951,[19]
hb_001_02_002324,논문,1951,[36]
hb_001_02_002306,논문,1951,[10]
hb_001_02_002307,논문,1951,[14]
hb_001_02_002308,논문,1951,[15]
hb_001_02_002325,논문,1951,[14]
hb_001_02_002309,논문,1951,[6]
hb_001_02_002310,논문,1951,[18]
hb_001_02_002317,논문,1951,[16]
hb_001_02_002311,논문,1951,[8]
hb_001_02_002312,논문,1951,[27]
hb_001_02_005028,논문,1951,[10]
hb_001_02_002318,논문,1951,[11]
hb_001_02_002319,논문,1951,[22]
hb_001_02_002313,논문,1951,[14]
hb_001_02_002314,논문,1951,[23]
hb_001_02_002320,논문,1951,[27]
hb_001_02_002315,논문,1951,[48]
hb_001_02_002326,논문,1952,[]
hb_001_02_002870,논문,1952,[]
hb_001_02_002331,논문,1952,[17]
hb_001_02_002332,논문,1952,[29]
hb_001_02_002333,논문,1952,[38]
hb_001_02_002869,논문,1952,[34]
hb_001_02_005029,논문,1952,[20]
hb_001_02_002327,논문,1952,[29]
hb_001_02_002868,논문,1952,[20]
hb_001_02_002328,논문,1952,[9]
hb_001_02_002329,논문,1952,[19]
hb_001_02_002330,논문,1952,[18]
hb_001_02_002872,논문,1952,[29]
hb_001_02_002873,논문,1952,[76]
hb_001_02_002871,논문,1952,[14]
hb_001_02_002335,논문,1953,[]
hb_001_02_002342,논문,1953,[]
hb_001_02_002339,논문,1953,[10]
hb_001_02_002340,논문,1953,[13]
hb_001_02_002347,논문,1953,[28]
hb_001_02_002341,논문,1953,[26]
hb_001_02_002348,논문,1953,[19]
hb_001_02_002349,논문,1953,[34]
hb_001_02_002334,논문,1953,[18]
hb_001_02_002336,논문,1953,[28]
hb_001_02_002875,논문,1953,[34]
hb_001_02_002876,논문,1953,[53]
hb_001_02_002337,논문,1953,[21]
hb_001_02_002343,논문,1953,[14]
hb_001_02_002344,논문,1953,[4]
hb_001_02_002345,논문,1953,[10]
hb_001_02_002338,논문,1953,[27]
hb_001_02_002346,논문,1953,[39]
hb_001_02_002874,논문,1953,[53]
hb_001_02_002350,논문,1954,[]
hb_001_02_003072,논문,1954,[]
hb_001_02_003073,논문,1954,[]
hb_001_02_001621,논문,1954,"[31, 35]"
hb_001_02_002354,논문,1954,[14]
hb_001_02_001619,논문,1954,[39]
hb_001_02_002355,논문,1954,[7]
hb_001_02_002877,논문,1954,[78]
hb_001_02_002351,논문,1954,[45]
hb_001_02_002356,논문,1954,[32]
hb_001_02_001620,논문,1954,
hb_001_02_002357,논문,1954,[28]
hb_001_02_002878,논문,1954,[5]
hb_001_02_002879,논문,1954,[26]
hb_001_02_002880,논문,1954,[25]
hb_001_02_001618,논문,1954,[85]
hb_001_02_001622,논문,1954,"[62, 80]"
hb_001_02_002352,논문,1954,[33]
hb_001_02_002353,논문,1954,[16]
hb_001_02_000803,논문,1955,[]
hb_001_02_002365,논문,1955,[]
hb_001_02_004054,논문,1955,[]
hb_001_02_002358,논문,1955,[62]
hb_001_02_004055,논문,1955,[84]
hb_001_02_004380,논문,1955,[16]
hb_001_02_002361,논문,1955,[24]
hb_001_02_002371,논문,1955,[41]
hb_001_02_002362,논문,1955,[20]
hb_001_02_003074,논문,1955,[74]
hb_001_02_002363,논문,1955,[14]
hb_001_02_002364,논문,1955,[14]
hb_001_02_002372,논문,1955,[10]
hb_001_02_001623,논문,1955,[103]
hb_001_02_002366,논문,1955,[11]
hb_001_02_003292,논문,1955,[33]
hb_001_02_000804,논문,1955,[14]
hb_001_02_002367,논문,1955,[17]
hb_001_02_002881,논문,1955,[58]
hb_001_02_002368,논문,1955,[13]
hb_001_02_003293,논문,1955,[9]
hb_001_02_002359,논문,1955,[28]
hb_001_02_002369,논문,1955,[18]
hb_001_02_000805,논문,1955,[12]
hb_001_02_000806,논문,1955,[11]
hb_001_02_002360,논문,1955,[25]
hb_001_02_002370,논문,1955,[38]
hb_001_02_004394,논문,1955,[]
hb_001_02_004395,논문,1955,[]
hb_001_02_004396,논문,1955,[]
hb_001_02_004397,논문,1955,[]
hb_001_02_004398,논문,1955,[]
hb_001_02_004399,논문,1955,[]
hb_001_02_004400,논문,1955,[]
hb_001_02_004401,논문,1955,[]
hb_001_02_004402,논문,1955,[]
hb_001_02_004403,논문,1955,[]
hb_001_02_004404,논문,1955,[]
hb_001_02_004405,논문,1955,[]
hb_001_02_004406,논문,1955,[]
hb_001_02_004407,논문,1955,[]
hb_001_02_004408,논문,1955,[]
hb_001_02_004409,논문,1955,[]
hb_001_02_004410,논문,1955,[]
hb_001_02_004411,논문,1955,[]
hb_001_02_004412,논문,1955,[]
hb_001_02_004413,논문,1955,[]
hb_001_02_004414,논문,1955,[]
hb_001_02_004415,논문,1955,[]
hb_001_02_004416,논문,1955,[]
hb_001_02_004417,논문,1955,[]
hb_001_02_004418,논문,1955,[]
hb_001_02_004419,논문,1955,[]
hb_001_02_004420,논문,1955,[]
hb_001_02_004421,논문,1955,[]
hb_001_02_004422,논문,1955,[]
hb_001_02_004423,논문,1955,[]
hb_001_02_004424,논문,1955,[]
hb_001_02_004425,논문,1955,[]
hb_001_02_004426,논문,1955,[]
hb_001_02_004427,논문,1955,[]
hb_001_02_004428,논문,1955,[]
hb_001_02_004429,논문,1955,[]
hb_001_02_004430,논문,1955,[]
hb_001_02_004431,논문,1955,[]
hb_001_02_004432,논문,1955,[]
hb_001_02_004433,논문,1955,[]
hb_001_02_004434,논문,1955,[]
hb_001_02_004435,논문,1955,[]
hb_001_02_004436,논문,1955,[]
hb_001_02_004437,논문,1955,[]
hb_001_02_004438,논문,1955,[]
hb_001_02_004439,논문,1955,[]
hb_001_02_004440,논문,1955,[]
hb_001_02_004441,논문,1955,[]
hb_001_02_004442,논문,1955,[]
hb_001_02_004443,논문,1955,[]
hb_001_02_004444,논문,1955,[]
hb_001_02_004445,논문,1955,[]
hb_001_02_004446,논문,1955,[]
hb_001_02_004447,논문,1955,[]
hb_001_02_004448,논문,1955,[]
hb_001_02_004449,논문,1955,[]
hb_001_02_004450,논문,1955,[]
hb_001_02_004451,논문,1955,[]
hb_001_02_004452,논문,1955,[]
hb_001_02_004453,논문,1955,[]
hb_001_02_004454,논문,1955,[]
hb_001_02_004455,논문,1955,[]
hb_001_02_004456,논문,1955,[]
hb_001_02_004457,논문,1955,[]
hb_001_02_004458,논문,1955,[]
hb_001_02_004459,논문,1955,[]
hb_001_02_004460,논문,1955,[]
hb_001_02_004461,논문,1955,[]
hb_001_02_004462,논문,1955,[]
hb_001_02_004463,논문,1955,[]
hb_001_02_004464,논문,1955,[]
hb_001_02_004465,논문,1955,[]
hb_001_02_004466,논문,1955,[]
hb_001_02_004467,논문,1955,[]
hb_001_02_004468,논문,1955,[]
hb_001_02_004469,논문,1955,[]
hb_001_02_004470,논문,1955,[]
hb_001_02_004471,논문,1955,[]
hb_001_02_003295,논문,1956,[]
hb_001_02_002373,논문,1956,[35]
hb_001_02_002394,논문,1956,[45]
hb_001_02_002376,논문,1956,[61]
hb_001_02_002397,논문,1956,[35]
hb_001_02_001698,논문,1956,[26]
hb_001_02_002398,논문,1956,[16]
hb_001_02_002377,논문,1956,[20]
hb_001_02_002399,논문,1956,[10]
hb_001_02_002378,논문,1956,[32]
hb_001_02_001697,논문,1956,[12]
hb_001_02_002400,논문,1956,[50]
hb_001_02_005095,논문,1956,[30]
hb_001_02_003294,논문,1956,[8]
hb_001_02_002379,논문,1956,[5]
hb_001_02_002380,논문,1956,[12]
hb_001_02_002381,논문,1956,[17]
hb_001_02_002401,논문,1956,[42]
hb_001_02_002382,논문,1956,[22]
hb_001_02_003296,논문,1956,[49]
hb_001_02_002383,논문,1956,[14]
hb_001_02_002384,논문,1956,[14]
hb_001_02_002385,논문,1956,[20]
hb_001_02_005096,논문,1956,[24]
hb_001_02_002386,논문,1956,[14]
hb_001_02_002387,논문,1956,[10]
hb_001_02_002388,논문,1956,[45]
hb_001_02_002374,논문,1956,[29]
hb_001_02_002389,논문,1956,[20]
hb_001_02_002390,논문,1956,[42]
hb_001_02_001696,논문,1956,[48]
hb_001_02_002391,논문,1956,[11]
hb_001_02_002392,논문,1956,[17]
hb_001_02_002395,논문,1956,[36]
hb_001_02_002393,논문,1956,[48]
hb_001_02_005097,논문,1956,[6]
hb_001_02_005098,논문,1956,[18]
hb_001_02_004210,논문,1956,[21]
hb_001_02_002375,논문,1956,[36]
hb_001_02_002396,논문,1956,[30]
hb_001_02_003297,논문,1956,[24]
hb_001_02_005099,논문,1956,[8]
hb_001_02_004472,논문,1956,[]
hb_001_02_004473,논문,1956,[]
hb_001_02_004474,논문,1956,[]
hb_001_02_004475,논문,1956,[]
hb_001_02_004476,논문,1956,[]
hb_001_02_004477,논문,1956,[]
hb_001_02_004478,논문,1956,[]
hb_001_02_004479,논문,1956,[]
hb_001_02_004480,논문,1956,[]
hb_001_02_004481,논문,1956,[]
hb_001_02_004482,논문,1956,[]
hb_001_02_004483,논문,1956,[]
hb_001_02_004484,논문,1956,[]
hb_001_02_004485,논문,1956,[]
hb_001_02_004486,논문,1956,[]
hb_001_02_004487,논문,1956,[]
hb_001_02_004488,논문,1956,[]
hb_001_02_004489,논문,1956,[]
hb_001_02_004490,논문,1956,[]
hb_001_02_004491,논문,1956,[]
hb_001_02_004492,논문,1956,[]
hb_001_02_004493,논문,1956,[]
hb_001_02_004494,논문,1956,[]
hb_001_02_004495,논문,1956,[]
hb_001_02_004496,논문,1956,[]
